Epoch 1: Train Accuracy: 0.5218714475631714, Validation Accuracy: 1.0
Epoch 2: Train Accuracy: 0.6222898364067078, Validation Accuracy: 1.0
Epoch 3: Train Accuracy: 0.6078356504440308, Validation Accuracy: 0.0
Epoch 4: Train Accuracy: 0.6279954314231873, Validation Accuracy: 0.6666666865348816
Epoch 5: Train Accuracy: 0.6283758282661438, Validation Accuracy: 1.0
Epoch 6: Train Accuracy: 0.6485355496406555, Validation Accuracy: 0.0
Epoch 7: Train Accuracy: 0.6306580305099487, Validation Accuracy: 0.0
Epoch 8: Train Accuracy: 0.6504374146461487, Validation Accuracy: 0.0
Epoch 9: Train Accuracy: 0.6310384273529053, Validation Accuracy: 0.6666666865348816
Epoch 10: Train Accuracy: 0.6523392796516418, Validation Accuracy: 0.6666666865348816
Epoch 11: Train Accuracy: 0.6565234065055847, Validation Accuracy: 0.6666666865348816
Epoch 12: Train Accuracy: 0.6527196764945984, Validation Accuracy: 0.3333333432674408
Epoch 13: Train Accuracy: 0.6443514823913574, Validation Accuracy: 0.6666666865348816
Epoch 14: Train Accuracy: 0.6588056087493896, Validation Accuracy: 0.0
Epoch 15: Train Accuracy: 0.6504374146461487, Validation Accuracy: 0.3333333432674408
Epoch 16: Train Accuracy: 0.6569037437438965, Validation Accuracy: 0.6666666865348816
Epoch 17: Train Accuracy: 0.660327136516571, Validation Accuracy: 0.3333333432674408
Epoch 18: Train Accuracy: 0.6633701324462891, Validation Accuracy: 0.0
Epoch 19: Train Accuracy: 0.6477748155593872, Validation Accuracy: 0.0
Epoch 20: Train Accuracy: 0.6515785455703735, Validation Accuracy: 0.0
Epoch 21: Train Accuracy: 0.6565234065055847, Validation Accuracy: 0.3333333432674408
Epoch 22: Train Accuracy: 0.6550018787384033, Validation Accuracy: 0.0
Epoch 23: Train Accuracy: 0.6614682674407959, Validation Accuracy: 0.6666666865348816
Epoch 24: Train Accuracy: 0.6709775328636169, Validation Accuracy: 0.6666666865348816
Epoch 25: Train Accuracy: 0.6622290015220642, Validation Accuracy: 0.6666666865348816
Epoch 26: Train Accuracy: 0.6599467396736145, Validation Accuracy: 0.6666666865348816
Epoch 27: Train Accuracy: 0.6515785455703735, Validation Accuracy: 0.0
Epoch 28: Train Accuracy: 0.6683149337768555, Validation Accuracy: 0.6666666865348816
Epoch 29: Train Accuracy: 0.660327136516571, Validation Accuracy: 0.3333333432674408
Epoch 30: Train Accuracy: 0.6576645374298096, Validation Accuracy: 0.0
